zip,lat,lon
01430,42.654700000000005,-71.92094554312621
01431,42.6733865,-71.81588123861846
01432,42.563024,-71.56593964021963
01434,42.524255,-71.6178323857616
01436,42.603177,-72.0859175624363
01438,42.561486,-72.03547461839396
01440,42.5896965,-71.98510437560827
01450,42.616403000000005,-71.5688006492389
01451,42.498416500000005,-71.58387793493529
01452,42.483723,-72.0152311760037
01453,42.52841050000001,-71.7592510427881
01460,42.5395265,-71.49250385167414
01462,42.586753,-71.72051663922991
01463,42.664759000000004,-71.59568477625137
01464,42.580166000000006,-71.64006231551363
01468,42.5547425,-72.06225931116907
01469,42.659217999999996,-71.68912884823342
01473,42.5565165,-71.90565432536062
01474,42.6697815,-71.75202014597582
01475,42.664694999999995,-72.0492193128789
01501,42.1961725,-71.8492605592073
01503,42.38454,-71.62769187885519
01504,42.041748,-71.53103551006436
01505,42.353277500000004,-71.72106104009433
01506,42.19494,-72.10339639240263
01507,42.1320685,-71.97565149574515
01510,42.412077499999995,-71.68940936617933
01515,42.207049,-72.04536969322096
01516,42.054548,-71.74889776655519
01518,42.1065295,-72.11515611479828
01519,42.2005805,-71.68280248528622
01520,42.338618999999994,-71.85001970535139
01521,42.060878,-72.16638020270338
01522,42.376303,-71.87886094123903
01523,42.471031499999995,-71.68180449103724
01524,42.242602500000004,-71.92505157619048
01525,42.099078000000006,-71.6426462694431
01527,42.19130800000001,-71.76713419209598
01529,42.0401265,-71.5776734033735
01531,42.320425,-72.11707301626626
01532,42.3216835,-71.64339898709187
01534,42.135339,-71.63132736956953
01535,42.268992499999996,-72.07834129393237
01536,42.229612,-71.68836377504317
01537,42.162651,-71.88650699697057
01540,42.1194835,-71.85605169004876
01541,42.457034500000006,-71.88577700506757
01542,42.201427,-71.91460221867449
01543,42.382588,-71.96570631511034
01545,42.287073,-71.71705530530642
01550,42.0711635,-72.02995859819417
01560,42.1744605,-71.66899580086545
01561,42.445426,-71.68863975728341
01562,42.246448,-71.99153178727033
01564,42.4393245,-71.76973280731329
01566,42.101471000000004,-72.07147420271104
01568,42.176244499999996,-71.60243190528413
01569,42.062475,-71.6364537581139
01570,42.058195,-71.84883309751771
01571,42.059239000000005,-71.93709608566115
01581,42.2658905,-71.61429490002234
01583,42.362541500000006,-71.7861804626967
01585,42.231678,-72.14317863056328
01588,42.123028500000004,-71.67932849158484
01590,42.136714,-71.76218707191342
01602,42.272926999999996,-71.8470307095588
01603,42.244945,-71.84382135337472
01604,42.249837,-71.77190929216867
01605,42.289685,-71.77896323065207
01606,42.311725,-71.80041861309523
01607,42.226228,-71.79002236534822
01608,42.2619035,-71.80030020740148
01609,42.28403350000001,-71.82014526608663
01610,42.244581,-71.80276263825706
01611,42.2395335,-71.87884358513986
01612,42.315087500000004,-71.9468219844311
01701,42.3239315,-71.43285761964191
01702,42.278879,-71.42879884564148
01718,42.521221,-71.42981748759792
01719,42.491877,-71.51405636565093
01720,42.4852195,-71.44086357502843
01721,42.25981,-71.47330662609345
01730,42.499075500000004,-71.27702451806468
01731,42.463325999999995,-71.27855481765536
01740,42.438438500000004,-71.60299834841561
01741,42.5326805,-71.35324336686486
01742,42.458649,-71.35973707570332
01745,42.292004000000006,-71.5006890532674
01746,42.1972215,-71.43762521120904
01747,42.1288105,-71.54081559269284
01748,42.2251675,-71.53150091528556
01749,42.3897465,-71.52955409787259
01752,42.3457495,-71.5528328953087
01754,42.426635000000005,-71.4551333649789
01756,42.103169,-71.56001229189607
01757,42.154646,-71.52023615350444
01760,42.288148500000005,-71.35983162512821
01770,42.231973499999995,-71.37203800702576
01772,42.296568,-71.53880415054329
01773,42.4292005,-71.30767860576923
01775,42.4277895,-71.51525483258388
01776,42.389008,-71.42277085934425
01778,42.361316,-71.35492994835681
01801,42.490627,-71.14239558258653
01803,42.505161,-71.20048080521158
01810,42.649918,-71.17578594506818
01821,42.547092500000005,-71.25006031982655
01824,42.588004,-71.35428716518823
01826,42.692685499999996,-71.30828834534285
01827,42.673482,-71.49239611667349
01830,42.7953095,-71.05750097601279
01832,42.7903035,-71.13520185846758
01833,42.72405,-70.98677358901486
01834,42.750412499999996,-71.00821658146438
01835,42.7533405,-71.08526481895424
01840,42.706053,-71.15883550958524
01841,42.708017999999996,-71.18172019136978
01843,42.691531499999996,-71.16280452492667
01844,42.7319655,-71.18900525449209
01845,42.672604,-71.08395467605634
01850,42.655572,-71.30415729096637
01851,42.6266485,-71.33956432312816
01852,42.633962,-71.29347563964808
01854,42.649476500000006,-71.3479163187572
01860,42.8363495,-71.01395934449587
01862,42.57099650000001,-71.30891119601802
01863,42.6320065,-71.38695604401747
01864,42.5805615,-71.08130885771692
01867,42.533546,-71.10322679044302
01876,42.6110635,-71.23338717868297
01879,42.6589965,-71.42025602048318
01880,42.501346,-71.06736560283687
01886,42.590439,-71.44816803119163
01887,42.5654495,-71.1630950557441
01890,42.454655,-71.14809864710547
01901,42.460317,-70.94543216147025
01902,42.4732855,-70.93865419254658
01904,42.489229,-70.96137017969565
01905,42.4637475,-70.97543046412429
01906,42.468016500000004,-71.01934022193319
01907,42.4747945,-70.90307168503459
01908,42.4348405,-70.9327830726593
01913,42.852982499999996,-70.94636081644254
01915,42.563969,-70.87473420041147
01921,42.6788325,-71.00038764775485
01922,42.758514,-70.92226296222452
01923,42.576783,-70.95189680565531
01929,42.635611,-70.7786986083897
01930,42.6307955,-70.69042310862807
01937,42.585919000000004,-70.98398498410785
01938,42.687229,-70.84573277797705
01940,42.537284,-71.04635012272277
01944,42.569745999999995,-70.7686359498739
01945,42.501676,-70.85335596708534
01949,42.602508,-71.01238987337662
01950,42.814467,-70.90067498093504
01951,42.780615999999995,-70.84389126012549
01952,42.849667499999995,-70.85711798117359
01960,42.532554000000005,-70.96370450521243
01965,42.561974,-70.82782807978337
01966,42.6588085,-70.61576192542415
01969,42.7173955,-70.90306770482955
01970,42.524519999999995,-70.89082301080403
01982,42.626894500000006,-70.86489844871795
01983,42.636357000000004,-70.94010206018518
01984,42.600705500000004,-70.8873885143658
01985,42.791315999999995,-70.96983770846805
02019,42.078376,-71.47553591315857
02021,42.182863499999996,-71.12517533850267
02025,42.2329115,-70.81908714928501
02026,42.2448505,-71.17650482015789
02030,42.2413815,-71.28420528838424
02032,42.154422499999995,-71.21357502186592
02035,42.0606855,-71.23472790264826
02038,42.087331,-71.40559499942182
02043,42.215984,-70.87913879623858
02045,42.2853595,-70.82424048568464
02047,42.1449795,-70.69445697337167
02048,42.017866999999995,-71.21966392824572
02050,42.111958,-70.70944841356334
02052,42.1820685,-71.30066097448824
02053,42.15503,-71.43289901818338
02054,42.1662315,-71.36419066375623
02056,42.1156505,-71.33420742974535
02061,42.1507485,-70.81240969748521
02062,42.1819005,-71.20092755427044
02066,42.207307,-70.76141177353071
02067,42.110453,-71.18260742631477
02071,42.104,-71.26717533604841
02072,42.118540499999995,-71.10165662546933
02081,42.150203000000005,-71.25233133499918
02090,42.220785500000005,-71.20383162418831
02093,42.054212,-71.33447604265734
02108,42.357162,-71.06352971276749
02109,42.3567015,-71.05839827255076
02110,42.358463,-71.0492959712517
02111,42.351312500000006,-71.05945764775561
02113,42.365105,-71.05536017054118
02114,42.362713,-71.06568235644147
02115,42.3419735,-71.08767383231708
02116,42.351326,-71.07401491308495
02118,42.336796,-71.07115998968416
02119,42.323763,-71.08340364239857
02120,42.3323905,-71.09604021932964
02121,42.3052755,-71.08584007273319
02122,42.293739,-71.05075154121847
02124,42.284751,-71.07434871446077
02125,42.316048,-71.05485591854475
02126,42.2768395,-71.08995672282609
02127,42.3335335,-71.03612317797203
02128,42.3721795,-71.0238184589613
02129,42.381586,-71.06267537129935
02130,42.3094485,-71.1163342706368
02131,42.283718500000006,-71.12445983516945
02132,42.277541,-71.1627139167455
02133,42.358346,-71.06390916974078
02134,42.359826,-71.12666676654845
02135,42.3488155,-71.15556417141501
02136,42.2535545,-71.12786529050567
02138,42.380046,-71.13235622906593
02139,42.3643365,-71.1026190571055
02140,42.393679500000005,-71.1358381540069
02141,42.370003,-71.0806732831038
02142,42.362269,-71.08183691151172
02143,42.3824745,-71.10111308592803
02144,42.402665999999996,-71.12652364322325
02145,42.390756499999995,-71.08848111340205
02148,42.428578,-71.05745957496863
02149,42.405431,-71.05515962511694
02150,42.3986875,-71.02793919814242
02151,42.419118499999996,-71.00653640528634
02152,42.373810500000005,-70.98000734311087
02155,42.424878,-71.1176434154334
02163,42.368055,-71.12731755687831
02169,42.2409685,-71.01429944293531
02170,42.267292499999996,-71.01440099557522
02171,42.288243,-71.02530906541725
02176,42.457263,-71.05841078517824
02180,42.4729765,-71.09410266167666
02184,42.2029475,-71.01003043706294
02186,42.233408,-71.09012098935206
02188,42.207614,-70.95782297570344
02189,42.214254499999996,-70.92986767183604
02190,42.164457999999996,-70.95044087510662
02191,42.247460000000004,-70.94539721592292
02199,42.347395,-71.08233363977044
02203,42.361505,-71.0593495921084
02205,42.349346499999996,-71.05560830388012
